863044774588272640	#encontro	[1,1,1,1,1,1,1]	0	1
865583716088766467	#encontro	[1,1,1,1,1,1,1]	0	1
865063232201011201	#TheNoite	[1,0,1,1,1,0,0]	2	1
864668391008763905	#masterchefbr	[0,0,0,0,0,0,0]	0	0
865572794016378882	#encontro	[-1,-1,-1,-1,-1,-1,-1]	0	-1
864531723215925250	#videoShowAoVivo	[1,1,1,1,1,1,1]	0	1
864176639143555072	#videoShowAoVivo	[0,0,1,0,0,0,0]	0	0
864674916532146176	#masterchefbr	[0,0,1,0,0,0,0]	0	0
865566046320832512	#encontro	[-1,-1,-1,-1,-1,-1,-1]	2	-1
862307799258329089	#encontro	[-1,-1,-1,-1,-1,-1,-1]	0	-1
865901040855650307	#édecasa	[1,1,1,1,1,1,1]	0	1
864877489801310210	#masterchefbr	[0,0,1,0,1,1,1]	1	1
864702921698664448	#TheNoite	[0,1,1,0,1,1,1]	1	1
863575527315181569	#altasHoras	[1,1,1,1,0,1,1]	0	1
864901773076701184	#videoShowAoVivo	[0,0,1,-1,-1,0,0]	4	0
865071562449448960	#ConversaComBial	[1,1,1,1,1,1,1]	0	1
864534043643322369	#videoShowAoVivo	[1,1,1,1,1,1,1]	0	1
864684453909671936	#ConversaComBial	[1,1,1,1,1,1,1]	0	1
864653900405772288	#masterchefbr	[1,0,1,1,1,1,1]	2	1
862319879470407681	#encontro	[0,0,1,0,1,1,1]	1	1
864666008333807616	#masterchefbr	[0,0,1,1,-1,0,0]	0	0
862154585120681985	#masterchefbr	[0,0,1,1,1,1,0]	2	1
864814104745320449	#masterchefbr	[-1,0,0,-1,1,-1,-1]	1	-1
864532441318535168	#videoShowAoVivo	[0,0,1,1,-1,1,0]	4	-
864700805017993216	#masterchefbr	[1,1,1,1,1,0,0]	0	1
864665198359183361	#masterchefbr	[-1,-1,-1,-1,-1,-1,-1]	0	-1
864652037551775744	#masterchefbr	[1,1,1,1,1,1,1]	0	1
865659608513339392	#masterchefbr	[0,0,-1,0,0,0,0]	0	0
865311265773813760	#maisvoce	[0,0,1,0,0,0,0]	2	0
862140098879606784	#masterchefbr	[0,0,1,0,0,1,-1]	2	0
865068372496613376	#ConversaComBial	[0,0,1,1,0,1,1]	1	1
865547533774274560	#maisvoce	[0,0,1,0,-1,-1,0]	0	0
864902024638418944	#videoShowAoVivo	[0,0,1,0,-1,0,0]	1	0
864516795549536257	#TheNoite	[1,1,1,1,1,1,1]	0	1
864681389760946176	#masterchefbr	[-1,-1,-1,-1,-1,-1,-1]	0	-1
863247140142927872	#ConversaComBial	[0,1,1,1,1,0,1]	0	1
863582224989474816	#altasHoras	[1,1,1,1,1,1,1]	0	1
864716100830978048	#masterchefbr	[1,0,-1,-1,0,-1,-1]	3	-1
865564925221105666	#encontro	[1,1,1,1,1,1,1]	0	1
862623978355085315	#encontro	[-1,-1,-1,-1,-1,-1,-1]	3	-1
864169027370983425	#videoShowAoVivo	[1,1,1,1,1,1,1]	0	1
864824770562584576	#masterchefbr	[-1,-1,-1,-1,-1,-1,-1]	0	-1
864688807068782594	#ConversaComBial	[1,1,1,1,1,1,1]	0	1
864655444786204672	#masterchefbr	[1,1,1,1,1,1,1]	0	1
864462012318875651	#maisvoce	[1,1,1,1,1,1,1]	0	1
864687047335923712	#masterchefbr	[0,0,-1,0,0,-1,-1]	2	0
864825289641250816	#maisvoce	[0,-1,-1,-1,-1,-1,-1]	2	-1
864681365442310145	#masterchefbr	[0,1,1,1,1,1,1]	0	1
864703395772473345	#TheNoite	[1,1,1,1,1,1,1]	0	1
864143870803795971	#encontro	[0,0,-1,1,1,0,-1]	1	0
864627319448772610	#masterchefbr	[0,1,1,1,1,1,1]	1	1
864825521020035072	#maisvoce	[0,-1,-1,1,0,0,-1]	2	-
862840424184074243	#masterchefbr	[1,1,1,1,1,1,1]	0	1
862667600651845633	#encontro	[0,1,1,1,0,1,1]	2	1
864706599750959104	#TheNoite	[1,1,1,1,1,1,1]	0	1
862683077440663553	#encontro	[0,1,-1,1,0,0,0]	1	0
865630062480994304	#videoShowAoVivo	[1,1,1,1,1,1,1]	0	1
